Data/Hora;Placa;Nr. de Frota;Descricao;Modelo;Volume (l);Odometro;Horimetro;Custo(R$);Frentista;Cod. do Frentista;Bomba;Cod. da Bomba;Tanque;Cod do Tanque;Posto;Cod. do Posto
26/05/2025 20:52;CC11;CC11;Compactador 15m³;VW 17.260 Mec.;99.500;61771;6656;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 21:05;CL2006;CL2006;Compactador Planalto15m³;VW 18.260;80.000;61167;5525;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 21:05;CL3005;CL3005;Compactador Usimeca 19m³;VW 24.260 Aut.;123.238;55690;5519;0.00;009 RONI;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 21:28;CL3003;CL3003;Compactador Usimeca 19m³;VW 24.260 Aut.;199.000;56373;5826;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 22:18;CB3061;CB3061;Basculante 12m³;Atego 2429;90.876;26268;1289;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 22:25;CC3004;CC3004;Caminhão Carroceria;Atego 2429;166.952;13110;685;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 23:11;CB3054;CB3054;Basculante 12m³;Atego 2429;78.228;47486;0;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 23:14;CB3036;CB3036;Basculante 12m³;Atego 2433;80.038;68898;3223;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 23:18;PC2002;PC2002;Pá Carregadeira;636D;29.504;0;1535;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 23:20;CB3064;CB3064;Basculante 12m³;Atego 2429;79.866;51455;2555;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 23:30;CB3019;CB3019;Basculante 12m³;TECTOR 24-280;100.171;42943;2378;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 23:35;PC2007;PC2007;Pá Carregadeira;636D;50.609;0;2002;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 23:43;PC2016;PC2016;Pá Carregadeira;636D;31.923;0;823;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 00:57;VM2001;VM2001;Varredeira V65;VW 17.210;173.676;14983;837;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 01:07;VM2009;VM2009;Varredeira V65;VW 17.210;147.085;9636;722;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 01:20;VM2008;VM2008;Varredeira V65;VW 17.210;143.980;13352;944;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 01:55;VM2014;VM2014;Varredeira V65;VW 17.210;125.199;8439;746;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 02:37;CB3052;CB3052;Basculante 12m³;Atego 2429;110.571;38251;1991;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 02:44;CB3051;CB3051;Basculante 12m³;Atego 2429;92.476;30676;1427;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 03:08;CB3009;CB3009;Basculante 12m³;TECTOR 24-280;97.028;54895;2757;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 04:06;CL3040;CL3040;Compactador Planalto 19m³;VW 26.260;143.847;33014;3211;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 04:24;CB3037;CB3037;Basculante 12m³;Atego 2433;23.904;45100;2580;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 04:40;CB3065;CB3065;Basculante 12m³;Atego 2429;90.038;24579;1178;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:04;CB3062;CB3062;Basculante 12m³;Atego 2429;95.790;63055;3007;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:09;CB3061;CB3061;Basculante 12m³;Atego 2429;43.942;26363;1293;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:13;PC2006;PC2006;Pá Carregadeira;636D;66.838;0;1252;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:16;CB3050;CB3050;Basculante 12m³;Atego 2429;106.571;18991;907;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:20;PC2007;PC2007;Pá Carregadeira;636D;35.923;0;2005;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:23;PC2016;PC2016;Pá Carregadeira;636D;47.180;0;828;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:26;CB3053;CB3053;Basculante 12m³;Atego 2429;158.571;54265;2744;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:32;SL001;SL001;Compactador Lopac 5m³;VW 11.180;93.752;49372;3774;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:37;CB3028;CB3028;Basculante 12m³;Atego 2433;72.914;44415;2177;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 05:40;CB3041;CB3041;Basculante 12m³;Atego 2433;27.142;73598;3306;0.00;012 CLEITON;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 06:11;CL3028;CL3028;Compactador 19M³;VW 26.260;158.095;44459;4546;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 06:18;PC2017;PC2017;Pá Carregadeira;636D;46.933;0;2280;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 06:18;CB3017;CB3017;Basculante 12m³;TECTOR 24-280;138.500;57143;2922;0.00;005 PA2 RESERVA;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
27/05/2025 06:21;RC2012;RC2012;Retroescavadeira;416.0;90.495;0;2424;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 06:25;PC2012;PC2012;Pá Carregadeira;636D;1.000;0;1501;0.00;005 PA2 RESERVA;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
27/05/2025 06:28;CB3042;CB3042;BASCULANTE 12M³;Tector 24-320;124.038;50531;2290;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 06:33;PC2015;PC2015;Pá Carregadeira;636D;46.457;0;1478;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 06:37;BS2001;BS2001;Baú Coleta Seletiva;-;78.076;177734;6910;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 06:43;CB3057;CB3057;Basculante 12m³;Atego 2429;159.885;49100;2371;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 07:17;CL3038;CL3038;Compactador Planalto 19m³;VW 26.260;138.780;33139;3171;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 07:23;CC04;CC04;Compactador 15m³;VW 17.260 Mec.;119.047;67237;6583;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 07:31;CL3026;CL3026;Compactador 19M³;VW 26.260;130.609;54857;4812;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
27/05/2025 07:39;CL3029;CL3029;Compactador 19M³;VW 26.260;139.790;47555;4809;0.00;008 CLAUDIA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
